,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
0,20230131,1301,極洋,プライム（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
1,20230131,1305,ダイワ上場投信－トピックス,ETF・ETN,-,-,-,-,-,-
2,20230131,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,-,-,-,-,-,-
3,20230131,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-
4,20230131,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,-,-,-,-,-,-
5,20230131,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,-,-,-,-,-,-
6,20230131,1312,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コア・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
7,20230131,1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,ETF・ETN,-,-,-,-,-,-
8,20230131,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
9,20230131,1320,ダイワ上場投信－日経２２５,ETF・ETN,-,-,-,-,-,-
10,20230131,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,-,-,-,-,-,-
11,20230131,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,-,-,-,-,-,-
12,20230131,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
13,20230131,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,-,-,-,-
14,20230131,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-,-,-,-,-
15,20230131,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,-,-,-,-,-,-
16,20230131,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
17,20230131,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-
18,20230131,1332,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
19,20230131,1333,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
20,20230131,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
21,20230131,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,-,-,-,-,-,-
